Source;Target
1285;3211
468;2914
416;3825
126;2566
126;1329
288;3831
407;2203
473;3720
282;1338
282;1339
282;2851
686;2814
575;3609
575;1348
199;3160
199;3161
199;3248
199;3292
112;3780
113;3780
113;2309
113;1361
62;3571
923;3931
542;1631
466;2105
466;3730
77;3712
856;1394
856;3830
856;1396
643;3554
545;1402
545;2974
664;1515
157;2966
30;1420
30;1421
30;3553
30;3539
30;1424
30;3985
30;3057
30;3904
30;1428
30;3331
30;1430
30;1431
1080;2120
120;2565
120;3539
120;2105
120;1442
120;1443
120;2120
367;2819
367;1446
367;1447
367;1448
367;3636
367;3619
136;3631
41;1455
41;1456
41;1457
41;1458
41;3505
41;1460
41;3627
41;1462
41;1463
765;3488
765;1465
770;3895
365;3985
872;3958
644;3554
441;1660
441;3511
441;1477
441;1763
1002;3191
453;3842
480;3523
121;2565
121;2507
121;1491
121;1492
637;2550
134;1623
402;3599
402;1501
402;3812
1148;3659
1245;1552
1245;2932
68;3168
68;1533
68;1512
68;1513
68;1514
68;1515
68;1516
68;3567
68;1518
68;3344
68;2625
68;1521
68;1522
219;2182
219;1524
219;1525
219;1526
219;1527
154;3708
154;1529
408;2203
408;3653
98;1533
661;1534
661;1535
661;3344
661;3117
661;1538
327;3713
327;1541
327;2816
327;1727
327;2818
328;3713
328;3913
328;1548
570;1550
570;3488
570;1552
570;2932
119;1554
119;3662
119;2437
119;3159
490;3511
941;3806
778;3980
778;1573
778;1574
778;3841
778;1576
1033;3158
555;3821
938;3894
938;3288
938;1586
938;2887
481;3523
385;2099
385;3082
380;2747
69;3168
1306;3446
474;3720
474;3738
474;3677
474;3485
48;1621
48;1622
48;1623
48;1624
48;1625
48;1626
48;1627
48;1628
48;1629
48;1630
48;1631
48;1632
48;1633
48;2856
48;1635
48;1636
48;1637
48;3506
48;3974
48;1640
48;1641
48;1642
48;1643
743;3805
965;3467
442;1660
137;3631
137;3708
137;1663
137;3278
137;3852
137;3246
137;3677
137;3492
137;1669
137;3251
137;1671
137;3957
137;1673
137;2899
137;2840
137;1676
137;1677
137;3397
137;2253
977;3943
958;3917
208;1687
208;1688
208;1689
208;1690
208;1691
208;1692
208;1693
208;1694
208;3951
208;1696
208;1697
208;1698
208;1699
784;3781
784;3250
283;3236
485;1709
485;3249
954;3288
986;3325
54;1719
54;3514
54;2722
54;3080
54;2099
54;2000
54;2792
54;1726
54;1727
54;3896
54;1729
54;1730
54;1731
54;3023
54;3158
54;1734
54;1735
54;1736
54;1737
54;3025
54;1739
54;3027
54;1741
54;3860
54;1743
815;3772
815;3931
1081;2120
325;1750
325;3079
325;1752
325;1753
325;1754
325;1755
325;1756
325;1757
325;1758
325;1759
325;1760
325;1761
325;3958
325;1763
325;1764
187;3189
187;3581
187;2462
187;3921
187;3120
210;3638
210;2569
36;3704
36;1776
475;3720
390;1792
390;3129
390;3632
390;1795
390;3813
390;3130
390;3519
390;1799
390;3520
390;1801
390;1802
390;1803
390;1804
390;1805
390;1806
390;1807
390;1808
390;1809
796;3858
796;3887
796;1852
828;3164
969;2920
873;3958
873;3608
114;3780
114;3709
114;3823
114;3160
114;1868
114;1869
114;3335
114;1871
114;3522
114;3720
114;3249
114;1875
114;3781
114;3250
114;2309
114;1879
114;1880
114;2441
114;3251
114;1883
114;1884
114;3782
114;1886
114;1887
114;1888
114;2809
114;3957
114;3204
114;2840
114;3580
114;1894
114;2842
114;1896
114;3446
961;3921
42;3915
42;3459
42;1907
42;2711
42;3472
42;3481
42;2715
1289;3801
122;2565
122;2285
122;1935
122;1936
122;1937
122;2685
122;1939
37;3704
37;1942
37;1943
37;1944
37;1945
37;1946
633;3738
342;3146
191;3356
191;3806
322;1955
322;3078
974;3283
1227;2685
871;3828
482;3523
483;3523
483;3286
231;3514
616;1967
616;3377
476;3720
476;3523
165;3192
165;3851
165;2850
702;3792
55;1990
55;3712
55;1992
55;3844
55;1994
55;2985
55;1996
55;2904
55;1998
55;2049
55;2000
55;3821
55;2214
55;3555
55;2004
55;2005
55;3795
55;3306
55;2008
55;2009
55;2010
55;2011
55;2012
55;3798
55;2127
55;2015
55;2016
55;2017
55;2018
55;2019
55;3799
55;2021
55;3800
55;2023
55;2024
55;2025
55;2026
55;2027
55;2028
55;2029
55;2030
419;3129
419;3519
419;3520
419;2035
751;3706
751;3331
751;2039
751;3293
751;3567
751;2042
405;2049
406;2049
1099;3854
882;2907
115;3780
87;2055
87;3985
87;2057
87;2979
87;2059
87;2980
87;3429
87;3928
87;2063
87;3930
87;2065
87;3220
87;3180
87;2254
87;2069
87;2576
87;2983
87;2984
87;2073
87;2074
87;2075
87;2076
87;3702
87;2635
87;2555
87;2080
87;2081
409;2203
403;3599
284;3236
363;3289
386;2099
535;2847
467;2105
467;3730
467;3731
1082;2120
301;3759
414;2122
414;2123
414;2124
414;3887
414;2640
414;2127
414;2128
414;2129
454;3842
454;3958
285;3236
285;3237
285;3892
285;2136
285;2137
285;3142
285;2139
285;2140
285;2141
429;2143
429;3974
429;3626
429;3627
426;2149
426;2792
902;2434
248;3246
248;3249
248;2157
248;3806
1181;3477
888;3306
302;3759
302;2169
302;3599
302;2171
302;2172
302;2173
302;2174
302;2705
302;2176
302;2177
302;3020
703;3792
703;2180
703;3143
220;2182
220;3145
220;2184
220;2185
220;2186
220;2187
220;3070
220;3074
220;2190
220;2191
220;2192
220;2193
220;2194
220;2195
220;2335
220;2197
220;2198
306;2199
306;2651
306;2652
306;3403
306;2203
306;3657
211;3638
211;2206
817;3555
560;2214
560;3822
560;2216
968;2217
968;2809
968;2219
968;2220
434;2968
744;3805
744;3164
744;2229
874;3958
448;3063
448;2235
448;2236
448;2237
448;2238
448;2239
448;3113
448;2241
202;3852
202;2244
202;2245
202;2246
202;2247
202;2248
202;2249
202;2250
202;2251
202;2252
202;2253
996;2254
523;2420
818;3555
875;3958
959;3917
1100;3854
305;2285
43;3915
43;2290
43;3467
524;2420
116;3780
117;3780
117;3159
117;3246
117;3390
117;3248
117;3523
117;2306
117;2307
117;3162
117;2309
691;3332
691;2517
692;3332
692;3580
928;3377
883;2907
340;3315
340;2328
340;3210
340;2330
384;2331
384;3248
384;3250
384;3180
384;2335
1040;2984
585;2423
1048;3893
1048;3941
184;2971
663;3496
331;2601
331;2380
550;2386
550;2761
38;3704
38;2968
978;3943
1089;3824
422;3137
212;3638
86;2418
86;2419
86;2420
86;2421
86;2422
86;2423
86;2424
86;3073
86;3974
86;2427
606;3113
446;3729
446;2434
316;2569
224;2437
224;3335
224;2439
224;3440
224;2441
224;2983
224;3957
224;2444
411;2548
411;3581
411;3825
411;2462
411;2463
411;3921
411;3120
1066;3957
280;2468
280;2469
280;3496
280;2471
940;3894
940;3608
940;2477
940;2478
940;2479
238;3728
238;2483
602;2492
602;3377
602;3646
602;2495
177;2504
177;3371
177;2506
125;2507
125;2566
125;2509
125;2510
125;2511
125;2512
125;2513
125;2514
884;2517
540;2979
975;3283
128;2525
128;3553
745;3805
227;2568
227;3895
227;3285
665;2981
930;3542
930;2541
960;3986
65;2544
65;3983
65;3984
65;2547
65;2548
65;2549
65;2550
65;2551
65;3406
65;3904
65;2554
65;2555
1078;3743
1072;3941
123;2565
123;3470
123;2560
123;2561
124;2565
127;2566
228;2568
229;2568
317;2569
477;3720
797;3858
797;3203
486;3731
1027;2576
216;3749
216;3283
216;2585
332;2601
332;2602
332;3893
332;2604
332;3743
332;2606
332;2607
556;3821
101;2614
101;3560
101;2616
146;3964
146;3792
146;2619
146;3143
146;3560
146;2622
146;2623
1238;2625
1232;2635
1136;2640
1303;3402
1012;2923
852;3920
526;2645
526;3377
919;3180
919;2648
919;2649
307;2651
307;2652
491;3511
491;3513
492;3511
470;3318
470;3523
374;2985
685;2813
685;2816
748;3357
471;3318
471;2675
876;3958
557;3821
1228;2685
558;3821
401;2687
401;3599
401;3792
401;2690
289;3831
502;3653
716;2705
76;3170
324;3459
324;2711
324;3473
324;3480
324;3481
324;2715
324;2716
185;2971
185;2722
185;2870
185;2724
185;2974
185;2975
185;2727
185;3427
185;2976
185;2730
185;2731
185;2732
947;3163
667;3429
868;3292
47;2740
47;2741
47;3823
47;2743
47;2744
47;3495
47;2746
47;2747
47;2748
47;2847
47;2750
47;3332
47;3677
47;2799
47;3156
47;3839
47;2756
47;2757
47;2758
47;2759
47;3163
47;2761
47;2762
47;2763
47;2764
47;2765
47;2766
47;2767
47;2768
47;2769
47;2770
47;2771
47;2772
47;2773
47;2774
47;2775
47;2776
942;3806
982;3408
982;3409
252;3268
1067;3957
1067;3397
736;2792
736;3180
736;2794
736;2795
736;3637
742;2799
742;3895
742;3803
369;3681
369;3682
369;2805
369;3402
249;3246
1050;2808
1050;2809
110;2812
110;2813
110;2814
110;2815
110;2816
110;3943
110;2818
368;2819
314;2824
314;3677
314;3492
314;2827
155;3708
155;2834
155;2835
155;2836
155;3250
155;2838
155;3396
155;2840
155;3580
155;2842
794;3250
670;3162
536;2847
607;3113
607;3472
607;2850
607;2851
607;2852
1091;3919
245;3343
245;2856
245;2857
245;2858
245;3567
217;3749
217;3897
180;2867
180;2868
180;2869
180;2870
287;3237
287;3842
310;3675
455;3842
693;3332
694;3332
819;3555
576;3609
1145;2887
1145;2888
200;3160
200;2896
200;3268
200;3317
200;2899
188;3189
376;2904
790;2905
790;3548
790;2907
790;3806
166;3192
81;2911
81;2912
81;2913
81;2914
81;2915
81;2916
81;3488
81;2918
81;2919
81;2920
81;3905
81;2922
81;2923
81;2924
81;2925
81;2926
81;2927
81;2928
81;2929
81;2930
81;2931
81;2932
81;3402
81;2934
987;3325
1101;3854
1152;3580
158;2966
158;2967
158;2968
158;3567
186;2971
186;2972
186;2973
186;2974
186;2975
186;2976
186;2977
1130;3085
541;2979
541;2980
541;2981
541;3928
541;2983
541;2984
375;2985
877;3958
478;3720
785;3781
785;3250
772;3895
772;3921
223;3016
223;3514
223;3833
223;3019
223;3020
223;3021
223;3022
223;3023
223;3024
223;3025
223;3085
223;3027
223;3028
223;3086
223;3834
223;3031
223;3032
223;3033
266;3035
266;3036
266;3037
266;3038
266;3039
266;3040
266;3283
671;3162
671;3048
671;3054
680;3722
237;3051
237;3052
237;3162
237;3054
792;3057
99;3678
99;3553
99;3985
99;3063
99;3064
99;3065
99;3066
99;3067
99;3735
99;3069
527;3070
527;3071
527;3402
897;3073
689;3074
53;3076
53;3514
53;3078
53;3079
53;3080
53;3081
53;3082
53;3896
53;3084
53;3085
1174;3086
272;3087
272;3283
924;3931
1069;3957
608;3113
1198;3117
838;3119
838;3120
912;3782
833;3839
834;3839
795;3250
795;3839
795;3548
810;3393
420;3129
420;3130
420;3519
420;3132
420;3520
420;3134
420;3135
420;3136
423;3137
423;3814
423;3139
423;3857
909;3142
709;3143
966;3467
270;3145
270;3146
270;3147
215;3151
215;3152
215;3463
215;3466
215;3155
826;3156
1034;3158
225;3159
201;3160
201;3161
201;3162
948;3163
829;3164
70;3168
70;3169
70;3170
70;3171
70;3172
70;3173
70;3174
70;3175
70;3176
70;3177
70;3220
70;3179
70;3180
70;3181
70;3182
70;3183
70;3184
70;3185
70;3186
70;3187
70;3188
189;3189
189;3554
189;3191
167;3192
553;3913
943;3806
879;3203
1132;3204
953;3576
953;3577
953;3578
858;3210
858;3211
253;3268
311;3844
577;3609
887;3220
290;3831
290;3222
290;3657
290;3224
286;3236
286;3237
277;3229
277;3805
277;3231
277;3232
222;3234
222;3235
222;3236
222;3237
222;3805
222;3794
746;3805
1070;3957
1070;3397
197;3278
197;3246
197;3335
197;3248
197;3249
197;3250
197;3251
197;3252
752;3706
59;3266
59;3852
59;3268
59;3677
59;3357
59;3271
59;3317
59;3957
59;3274
198;3278
984;3324
984;3281
984;3325
976;3283
773;3895
773;3285
799;3286
799;3287
955;3288
364;3289
364;3290
364;3291
364;3292
364;3293
364;3646
364;3295
364;3296
364;3297
364;3298
364;3299
1304;3402
1015;3875
911;3614
889;3306
138;3631
341;3315
341;3958
1025;3317
472;3318
472;3523
985;3324
985;3325
985;3824
935;3331
695;3332
1208;3480
334;3335
574;3811
574;3609
574;3338
842;3904
235;3495
235;3343
235;3344
235;3345
1307;3446
681;3722
681;3824
192;3356
192;3357
766;3488
79;3983
79;3371
79;3372
1270;3619
929;3377
774;3895
139;3631
139;3388
139;3852
139;3390
139;3391
139;3392
139;3393
139;3806
139;3395
139;3396
139;3397
139;3398
1305;3402
313;3403
786;3406
786;3407
786;3408
786;3409
786;3410
786;3411
578;3609
1020;3626
880;3426
880;3427
880;3428
668;3429
775;3440
775;3441
775;3442
775;3443
775;3824
775;3445
775;3446
851;3461
851;3452
851;3453
851;3454
45;3915
45;3456
45;3457
45;3458
45;3459
45;3460
45;3461
45;3462
45;3463
45;3917
45;3465
45;3466
45;3467
45;3468
45;3469
45;3470
45;3471
45;3472
45;3473
45;3474
45;3796
45;3476
45;3477
45;3478
45;3479
45;3480
45;3481
45;3482
45;3483
45;3484
956;3485
767;3488
767;3489
497;3491
497;3492
497;3828
497;3494
236;3495
236;3496
236;3980
236;3498
236;3499
236;3500
236;3501
236;3702
962;3505
963;3506
963;3507
493;3511
493;3513
904;3513
232;3514
793;3519
793;3520
323;3521
323;3522
484;3523
484;3524
1120;3803
605;3633
366;3985
130;3539
130;3540
130;3554
130;3542
130;3543
130;3544
130;3545
130;3546
130;3547
836;3548
129;3553
645;3554
820;3555
1051;3560
1061;3567
1061;3568
63;3571
63;3572
63;3952
63;3574
63;3981
63;3576
63;3577
63;3578
1153;3580
415;3581
456;3842
979;3943
1221;3637
563;3853
404;3599
291;3831
991;3608
579;3609
640;3612
640;3613
640;3614
640;3615
640;3616
640;3617
640;3618
640;3619
640;3620
109;3623
109;3624
109;3974
109;3626
109;3627
140;3631
140;3632
140;3633
140;3634
140;3635
140;3636
140;3637
213;3638
213;3639
213;3640
213;3641
213;3642
213;3643
213;3644
213;3645
213;3646
213;3647
213;3648
213;3649
213;3650
503;3653
74;3656
74;3657
74;3658
74;3659
74;3660
132;3662
132;3663
132;3664
46;3915
46;3918
292;3831
292;3675
292;3844
701;3677
100;3678
100;3679
370;3681
370;3682
753;3706
424;3851
554;3913
133;3699
133;3700
133;3701
133;3702
39;3704
754;3706
156;3708
156;3709
78;3712
78;3713
78;3714
479;3720
682;3722
682;3723
447;3729
447;3725
447;3857
447;3727
239;3728
239;3729
239;3730
239;3731
239;3732
239;3733
239;3734
239;3735
239;3736
634;3738
634;3739
634;3931
634;3806
634;3957
634;3743
634;3744
634;3745
634;3746
634;3747
634;3748
218;3749
781;3827
303;3759
304;3759
816;3772
118;3780
118;3781
118;3782
704;3792
131;3793
131;3794
822;3795
822;3796
822;3797
822;3798
822;3799
822;3800
822;3801
822;3802
1121;3803
747;3805
944;3806
226;3810
226;3811
226;3812
627;3813
463;3814
463;3815
1092;3919
559;3821
559;3822
181;3823
181;3824
417;3825
417;3875
782;3827
782;3828
782;3829
782;3830
293;3831
1102;3854
464;3833
464;3834
464;3835
835;3839
1029;3841
457;3842
457;3843
312;3844
425;3851
203;3852
203;3853
203;3854
203;3855
1094;3857
798;3858
1242;3860
1016;3875
949;3887
769;3895
1065;3957
294;3892
1047;3893
939;3894
771;3895
814;3896
814;3897
841;3904
1003;3905
552;3913
44;3915
44;3916
44;3917
44;3918
44;3919
853;3920
853;3921
669;3928
687;3930
925;3931
1053;3939
1053;3941
1073;3941
980;3943
209;3951
209;3952
1068;3957
878;3958
147;3964
164;3972
164;3973
164;3974
164;3975
164;3976
779;3980
779;3981
80;3983
80;3984
80;3985
80;3986
